DateKey	Date	Day	Month	MonthShort	MonthNo	Quater	Year
20050101	1/1/2005	Saturday	January	Jan	1	1	2019
20050102	1/2/2005	Sunday	January	Jan	1	1	2019
20050103	1/3/2005	Monday	January	Jan	1	1	2019
20050104	1/4/2005	Tuesday	January	Jan	1	1	2019
20050105	1/5/2005	Wednesday	January	Jan	1	1	2019
20050106	1/6/2005	Thursday	January	Jan	1	1	2019
20050107	1/7/2005	Friday	January	Jan	1	1	2019
20050108	1/8/2005	Saturday	January	Jan	1	1	2019
20050109	1/9/2005	Sunday	January	Jan	1	1	2019
20050110	1/10/2005	Monday	January	Jan	1	1	2019
20050111	1/11/2005	Tuesday	January	Jan	1	1	2019
20050112	1/12/2005	Wednesday	January	Jan	1	1	2019
20050113	1/13/2005	Thursday	January	Jan	1	1	2019
20050114	1/14/2005	Friday	January	Jan	1	1	2019
20050115	1/15/2005	Saturday	January	Jan	1	1	2019
20050116	1/16/2005	Sunday	January	Jan	1	1	2019
20050117	1/17/2005	Monday	January	Jan	1	1	2019
20050118	1/18/2005	Tuesday	January	Jan	1	1	2019
20050119	1/19/2005	Wednesday	January	Jan	1	1	2019
20050120	1/20/2005	Thursday	January	Jan	1	1	2019
20050121	1/21/2005	Friday	January	Jan	1	1	2019
20050122	1/22/2005	Saturday	January	Jan	1	1	2019
20050123	1/23/2005	Sunday	January	Jan	1	1	2019
20050124	1/24/2005	Monday	January	Jan	1	1	2019
20050125	1/25/2005	Tuesday	January	Jan	1	1	2019
20050126	1/26/2005	Wednesday	January	Jan	1	1	2019
20050127	1/27/2005	Thursday	January	Jan	1	1	2019
20050128	1/28/2005	Friday	January	Jan	1	1	2019
20050129	1/29/2005	Saturday	January	Jan	1	1	2019
20050130	1/30/2005	Sunday	January	Jan	1	1	2019
20050131	1/31/2005	Monday	January	Jan	1	1	2019
20050201	2/1/2005	Tuesday	February	Feb	2	1	2019
20050202	2/2/2005	Wednesday	February	Feb	2	1	2019
20050203	2/3/2005	Thursday	February	Feb	2	1	2019
20050204	2/4/2005	Friday	February	Feb	2	1	2019
20050205	2/5/2005	Saturday	February	Feb	2	1	2019
20050206	2/6/2005	Sunday	February	Feb	2	1	2019
20050207	2/7/2005	Monday	February	Feb	2	1	2019
